Location,Building Type,Max Price Per Room,SDA Design Category,Vacancy,Has Fire Sprinklers,Has Breakout Room,Onsite Overnight Assistance
Ellenbrook WA 6069,"House, 3 residents",61155.87,High Physical Support,3,0,0,1
Armadale WA 6112,"House, 2 residents",88604.34,Robust,2,0,0,1
Sinagra WA 6065,"House, 2 residents",98188.2,High Physical Support,1,1,0,1
Anketell WA 6167,"House, 2 residents",81206.02,Fully Accessible,2,0,0,1
Beckenham WA 6107,"House, 2 residents",105502.86,Robust,1,1,1,1
Brabham WA 6055,"House, 2 residents",88056.12,High Physical Support,2,0,0,1
Wallsend NSW 2287,"House, 3 residents",63979.74,High Physical Support,3,1,0,0
Mount Waverley VIC 3149,"Group home, 5 residents",12162.24,Fully Accessible,1,1,0,1
Moorabbin VIC 3189,"Group home, 5 residents",13697.28,Fully Accessible,1,1,0,1
Rockingham WA 6168,"Apartment, 1 bedroom, 1 resident",117447,High Physical Support,2,1,0,1
Evanston SA 5116,"Villa / Duplex / Townhouse, 2 residents",6788.16,Improved Liveability,1,0,0,0
Hackham West SA 5163,"Villa / Duplex / Townhouse, 1 residents",15229.44,Improved Liveability,1,0,0,1
Millicent SA 5280,"Villa / Duplex / Townhouse, 2 residents",7410.14,Improved Liveability,1,0,0,1
Munno Para SA 5115,"Villa / Duplex / Townhouse, 2 residents",7992.96,Improved Liveability,1,0,0,1
North Haven SA 5018,"House, 3 residents",8074.44,Improved Liveability,1,0,0,1
Para Hills SA 5096,"Group home, 4 residents",50079.15,High Physical Support,2,0,0,1
Albert Park SA 5014,"House, 3 residents",5988.51,Basic,1,0,0,0
Broadview SA 5083,"Group home, 5 residents",20856.72,High Physical Support,1,0,0,1
Elizabeth South SA 5112,"Group home, 4 residents",8080.32,Improved Liveability,1,0,0,1
Park Holme SA 5043,"Group home, 5 residents",20634.84,High Physical Support,1,0,0,1
Seacombe Gardens SA 5047,"Group home, 5 residents",20634.84,High Physical Support,2,0,0,1
Woodville SA 5011,"Group home, 4 residents",7387.38,Basic,1,0,0,0
Sturt SA 5047,"Group home, 4 residents",22698.18,High Physical Support,2,0,0,0
Park Holme SA 5043,"Group home, 5 residents",20634.84,High Physical Support,1,0,0,1
Findon SA 5023,"Group home, 5 residents",21966.12,High Physical Support,1,0,0,1
Enfield SA 5085,"Group home, 5 residents",20856.72,High Physical Support,2,0,0,1
Findon SA 5023,"Group home, 5 residents",21966.12,High Physical Support,3,0,0,1
Christies Beach SA 5165,"Villa / Duplex / Townhouse, 1 residents",62325.08,Fully Accessible,1,0,0,0
Enfield SA 5085,"Villa / Duplex / Townhouse, 1 residents",15705.36,Improved Liveability,1,0,0,1
Enfield SA 5085,"Villa / Duplex / Townhouse, 1 residents",15705.36,Improved Liveability,1,0,0,1
Elizabeth East SA 5112,"Group home, 4 residents",8080.32,Improved Liveability,1,0,0,1
Aldinga Beach SA 5173,"Villa / Duplex / Townhouse, 1 residents",65076.32,Fully Accessible,1,0,0,1
Murray Bridge SA 5253,"Villa / Duplex / Townhouse, 1 residents",63143.36,Fully Accessible,1,0,0,1
Greenacres SA 5086,"House, 2 residents",66435.18,Improved Liveability,1,0,0,0
Salisbury SA 5108,"House, 2 residents",80131.66,High Physical Support,1,0,0,0
North Geelong VIC 3215,"House, 2 residents",69087.84,Improved Liveability,2,0,0,1
North Geelong VIC 3215,"Villa / Duplex / Townhouse, 1 residents",68772.4,High Physical Support,1,0,0,1
North Geelong VIC 3215,"Villa / Duplex / Townhouse, 1 residents",68772.4,High Physical Support,1,0,0,1
Brookfield VIC 3338,"House, 2 residents",86398.87,Robust,1,0,1,1
Darley VIC 3340,"House, 2 residents",81081.33,Robust,2,0,0,1
Lara VIC 3212,"House, 2 residents",86553.24,High Physical Support,1,1,0,1
Ivanhoe VIC 3079,"House, 3 residents",48992.4,Improved Liveability,2,0,0,1
Ryde NSW 2112,"Apartment, 1 bedroom, 1 resident",106913.34,High Physical Support,1,0,0,1
Werrington NSW 2747,"House, 3 residents",54166.56,Robust,3,0,0,1
Werrington NSW 2747,"House, 2 residents",83726.74,Robust,2,0,1,1
Penrith NSW 2750,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,2,1,0,1
Penrith NSW 2750,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Bankstown NSW 2200,"Apartment, 2 bedroom, 1 resident",121783.92,High Physical Support,1,1,0,1
Bankstown NSW 2200,"Apartment, 1 bedroom, 1 resident",116039.91,High Physical Support,1,1,0,1
Woolooware NSW 2230,"Apartment, 1 bedroom, 1 resident",116039.91,High Physical Support,1,1,0,1
Mascot NSW 2020,"House, 3 residents",110584.32,Improved Liveability,1,1,0,1
Cabramatta NSW 2166,"House, 2 residents",93068,High Physical Support,2,1,0,1
Blacktown NSW 2148,"House, 2 residents",94929.36,High Physical Support,2,1,0,1
Wollert VIC 3750,"House, 2 residents",84037.5,Robust,1,1,1,1
Winchelsea VIC 3241,"Villa / Duplex / Townhouse, 1 residents",69541.9,Robust,1,1,0,1
Rydalmere NSW 2116,"Apartment, 1 bedroom, 1 resident",98498.23,Fully Accessible,1,0,0,1
Sebastopol VIC 3356,"Apartment, 2 bedroom, 1 resident",107594.34,High Physical Support,1,1,0,1
Smythes Creek VIC 3351,"House, 3 residents",0,Multi Design Category,1,0,0,1
Smythes Creek VIC 3351,"House, 3 residents",0,Multi Design Category,1,0,0,1
Daylesford VIC 3460,"Villa / Duplex / Townhouse, 1 residents",73511.33,High Physical Support,1,1,0,1
Greenvale VIC 3059,"Villa / Duplex / Townhouse, 1 residents",73511.33,High Physical Support,1,1,0,1
Whittington VIC 3219,"Villa / Duplex / Townhouse, 1 residents",73105.35,High Physical Support,1,0,0,1
Elizabeth SA 5112,"House, 3 residents",68323.86,High Physical Support,2,1,0,1
Elizabeth Park SA 5113,"House, 3 residents",68323.86,High Physical Support,1,1,0,1
Seaton SA 5023,"House, 2 residents",105130.8,High Physical Support,2,1,0,1
Marion SA 5043,"House, 2 residents",92137.32,High Physical Support,2,1,0,1
Hackham West SA 5163,"House, 3 residents",68323.86,High Physical Support,3,1,0,1
Elizabeth Grove SA 5112,"Villa / Duplex / Townhouse, 1 residents",79231.56,Robust,1,1,0,1
Seaton SA 5023,"House, 2 residents",105130.8,High Physical Support,2,1,0,1
Clovelly Park SA 5042,"House, 2 residents",98188.2,High Physical Support,2,1,0,1
Plympton Park SA 5038,"House, 2 residents",98188.2,High Physical Support,2,1,0,1
Clovelly Park SA 5042,"House, 2 residents",98188.2,High Physical Support,2,1,0,1
Royal Park SA 5014,"House, 2 residents",105130.8,High Physical Support,2,1,0,1
Flinders Park SA 5025,"House, 2 residents",105130.8,High Physical Support,2,1,0,1
Christie Downs SA 5164,"House, 2 residents",98188.2,High Physical Support,2,1,0,1
Northfield SA 5085,"House, 2 residents",97196.4,High Physical Support,2,1,0,1
Mount Barker SA 5251,"House, 3 residents",69014,High Physical Support,3,1,0,1
Valley View SA 5093,"House, 2 residents",97196.4,High Physical Support,2,1,0,1
Hackham SA 5163,"Villa / Duplex / Townhouse, 1 residents",78454.78,Robust,1,1,0,1
Christie Downs SA 5164,"House, 3 residents",68323.86,High Physical Support,3,1,0,1
Mount Barker SA 5251,"House, 3 residents",69014,High Physical Support,1,1,0,1
Mount Barker SA 5251,"House, 3 residents",69014,High Physical Support,3,1,0,1
Plympton Park SA 5038,"House, 2 residents",98188.2,High Physical Support,2,1,0,1
Northcote VIC 3070,"House, 3 residents",94549.18,High Physical Support,3,1,0,1
West Footscray VIC 3012,"Apartment, 1 bedroom, 1 resident",104634.6,High Physical Support,1,1,0,1
Swan Hill VIC 3585,"Group home, 5 residents",5375.04,Basic,1,1,0,0
Reservoir VIC 3073,"Group home, 5 residents",5741.52,Basic,1,1,0,0
Drouin VIC 3818,"Legacy Stock, 6+ residents",4017.06,Basic,1,1,0,0
Moe VIC 3825,"Legacy Stock, 6+ residents",8530.34,Fully Accessible,1,1,0,1
Maffra VIC 3860,"Legacy Stock, 6+ residents",4017.06,Basic,1,1,0,0
Adamstown NSW 2289,"Group home, 5 residents",36068.67,Improved Liveability,2,1,0,1
Westdale NSW 2340,"Group home, 5 residents",5558.28,Basic,1,1,0,0
St Clair NSW 2330,"Villa / Duplex / Townhouse, 2 residents",6905.25,Basic,1,1,0,0
St Clair NSW 2330,"Villa / Duplex / Townhouse, 3 residents",5587.56,Basic,1,1,0,0
Goulburn NSW 2580,"Group home, 5 residents",5802.6,Basic,1,1,0,0
Jerrabomberra NSW 2619,"House, 3 residents",5979.08,Basic,1,1,0,0
Cowra NSW 2794,"Group home, 5 residents",5619.36,Basic,1,1,0,0
Norwest NSW 2153,"Group home, 4 residents",8516.48,Basic,3,1,0,0
Norwest NSW 2153,"Group home, 5 residents",6902.04,Basic,1,1,0,0
Gunnedah NSW 2380,"Group home, 5 residents",31654.88,Fully Accessible,2,0,0,1
Ballina NSW 2478,"Group home, 5 residents",6046.92,Basic,1,1,0,0
Barrack Heights NSW 2528,"Villa / Duplex / Townhouse, 1 residents",13980.34,Basic,1,1,0,0
Wyee NSW 2259,"House, 3 residents",53644.14,Improved Liveability,1,1,0,1
Wyee NSW 2259,"House, 2 residents",77636.79,Improved Liveability,1,1,0,1
Wyee NSW 2259,"House, 3 residents",63961.92,High Physical Support,1,1,0,1
Penrith NSW 2750,"Group home, 4 residents",46985.9,Robust,1,1,0,1
Bulleen VIC 3105,"Villa / Duplex / Townhouse, 2 residents",52444,High Physical Support,3,1,0,1
North Wollongong NSW 2500,"House, 3 residents",67192.32,High Physical Support,1,1,0,1
Enoggera QLD 4051,"Apartment, 1 bedroom, 1 resident",79785.72,Improved Liveability,1,0,0,0
Oakville NSW 2765,"House, 3 residents",64000.56,High Physical Support,3,0,0,1
Riverstone NSW 2765,"House, 2 residents",94929.36,High Physical Support,1,1,0,1
Bradbury NSW 2560,"House, 2 residents",86553.24,High Physical Support,2,1,0,1
Bradbury NSW 2560,"House, 2 residents",92237.4,High Physical Support,2,1,0,1
Prahran VIC 3181,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,2,1,0,1
Prahran VIC 3181,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Prahran VIC 3181,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Prahran VIC 3181,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Prahran VIC 3181,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Prahran VIC 3181,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Prahran VIC 3181,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Brighton VIC 3186,"Apartment, 2 bedroom, 2 resident",49866.73,High Physical Support,2,1,0,1
Brighton VIC 3186,"Apartment, 2 bedroom, 2 resident",49866.73,High Physical Support,2,1,0,1
Flemington VIC 3031,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Flemington VIC 3031,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Flemington VIC 3031,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Flemington VIC 3031,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Flemington VIC 3031,"Apartment, 2 bedroom, 1 resident",114249.66,High Physical Support,1,1,0,1
Flemington VIC 3031,"Apartment, 2 bedroom, 2 resident",51347.92,High Physical Support,2,1,0,1
Mount Gambier SA 5290,"Villa / Duplex / Townhouse, 1 residents",20884.92,Fully Accessible,2,0,0,0
Panorama SA 5041,"Apartment, 1 bedroom, 1 resident",89897.85,Fully Accessible,2,1,0,0
Panorama SA 5041,"Apartment, 1 bedroom, 1 resident",89897.85,Fully Accessible,2,1,0,0
Benalle VIC 3672,"Villa / Duplex / Townhouse, 3 residents",30415.55,High Physical Support,1,1,0,0
Wyndham Vale VIC 3024,"House, 3 residents",59692.83,High Physical Support,2,0,0,1
Mambourin VIC 3024,"House, 3 residents",63786.23,High Physical Support,3,0,0,1
Junction Village VIC 3977,"House, 2 residents",81715.32,High Physical Support,1,0,0,1
Wyndham Vale VIC 3024,"House, 2 residents",86156.37,High Physical Support,1,0,0,1
Cranbourne East VIC 3977,"House, 3 residents",59439.36,High Physical Support,1,1,0,1
Mambourin VIC 3024,"House, 2 residents",86156.37,High Physical Support,1,0,0,1
Jordan Springs NSW 2747,"House, 3 residents",48132.7,Improved Liveability,1,0,0,1
Oxley QLD 4075,"Apartment, 1 bedroom, 1 resident",102499.2,High Physical Support,1,1,0,1
Jordan Springs NSW 2747,"Group home, 4 residents",36951.4,Improved Liveability,4,0,0,0
Naracoorte SA 5271,"House, 2 residents",85622.56,High Physical Support,1,1,0,1
Liverpool NSW 2170,"Apartment, 2 bedroom, 1 resident",89511,Fully Accessible,1,1,0,0
North Ryde NSW 2113,"Group home, 5 residents",8245.8,Basic,2,1,0,0
North Ryde NSW 2113,"Group home, 5 residents",8245.8,Basic,1,1,0,0
North Ryde NSW 2113,"Group home, 5 residents",8245.8,Basic,2,1,0,0
North Ryde NSW 2113,"Group home, 5 residents",8245.8,Basic,1,1,0,0
Kellyville NSW 2155,"Group home, 5 residents",36393,Improved Liveability,5,1,0,0
Guildford West NSW 2161,"Group home, 5 residents",38472.6,Improved Liveability,1,1,0,0
Guildford West NSW 2161,"Group home, 5 residents",38472.6,Improved Liveability,1,1,0,0
Parramatta NSW 2150,"Apartment, 2 bedroom, 2 resident",38458.08,Improved Liveability,2,1,0,0
Warragul VIC 3820,"House, 3 residents",53624.64,High Physical Support,1,1,0,1
Warragul VIC 3820,"House, 2 residents",77246.44,High Physical Support,2,1,0,1
Bohle Plains QLD 4817,"House, 3 residents",61539,High Physical Support,3,0,0,1
Thornhill Park VIC 3335,"House, 3 residents",59692.83,High Physical Support,3,0,0,1
Zuccoli NT 0832,"House, 2 residents",104808.78,High Physical Support,2,0,0,1
Darley VIC 3340,"House, 2 residents",81081.33,Robust,2,0,0,1
Edmonton QLD 4869,"Villa / Duplex / Townhouse, 1 residents",68389.12,Robust,1,0,0,1
Hilbert WA 6112,"House, 3 residents",65846.73,High Physical Support,3,0,0,1
Torquay QLD 4655,"House, 3 residents",43012.2,Improved Liveability,3,0,0,1
Davoren Park SA 5113,"House, 2 residents",87044.58,High Physical Support,2,0,0,1
Mindarie WA 6030,"House, 3 residents",64608,High Physical Support,3,1,0,1
Ravenswood WA 6208,"House, 3 residents",55385.1,High Physical Support,3,0,0,1
Madora Bay WA 6210,"House, 3 residents",55385.1,High Physical Support,3,0,0,1
Para Hills SA 5096,"House, 3 residents",60923.61,High Physical Support,1,0,0,1
Riverlea Park SA 5120,"House, 3 residents",60923.61,High Physical Support,1,0,0,1
Dingley Village VIC 3172,"House, 2 residents",81945.32,Robust,1,0,1,1
Munno Para West SA 5115,"House, 3 residents",50692.95,Improved Liveability,2,0,0,1
Tarneit VIC 3029,"House, 2 residents",96204.6,High Physical Support,2,1,0,1
Scullin ACT 2614,"Villa / Duplex / Townhouse, 2 residents",41570.1,High Physical Support,2,0,0,1
Wollert VIC 3750,"Group home, 4 residents",40468.3,Fully Accessible,1,1,0,1
Mambourin VIC 3024,"House, 2 residents",86340.67,Robust,2,0,0,1
Clyde North VIC 3978,"House, 2 residents",91245.6,High Physical Support,2,1,0,1
Beveridge VIC 3753,"House, 3 residents",59183.1,High Physical Support,3,0,0,1
Beveridge VIC 3753,"House, 2 residents",85215.6,High Physical Support,2,0,0,1
Brookfield VIC 3338,"House, 2 residents",92121.87,Robust,1,0,1,1
Fraser Rise VIC 3336,"House, 2 residents",86340.67,Robust,2,0,0,1
Tarneit VIC 3029,"House, 3 residents",63786.23,High Physical Support,2,0,0,1
Clyde North VIC 3978,"House, 2 residents",81890.12,Robust,1,0,0,1
Tarneit VIC 3029,"House, 3 residents",63786.23,High Physical Support,1,0,0,1
Junction Village VIC 3977,"House, 2 residents",87109.28,High Physical Support,2,0,0,1
Deanside VIC 3336,"House, 2 residents",92121.87,Robust,2,0,1,1
Junction Village VIC 3977,"House, 2 residents",87109.28,High Physical Support,1,0,0,1
Airport West VIC 3042,"House, 3 residents",57971.76,High Physical Support,1,1,0,1
Armstrong Creek VIC 3217,"House, 2 residents",87022.89,Robust,1,1,0,1
Clyde North VIC 3978,"House, 3 residents",60498.28,High Physical Support,3,0,0,1
Werribee VIC 3030,"House, 3 residents",63786.23,High Physical Support,3,0,0,1
Fraser Rise VIC 3336,"House, 3 residents",66943.58,High Physical Support,2,1,0,1
Pakenham VIC 3810,"House, 3 residents",63492.88,High Physical Support,2,1,0,1
Cranbourne East VIC 3977,"House, 3 residents",63492.88,High Physical Support,2,1,0,1
Greenvale VIC 3059,"House, 2 residents",79775.64,Robust,1,0,1,1
